Author,Quote,Book,Tags,Rating,Location,Link,Collected,RawSource,Created,id
,,,,,,,,,"August 20, 2022 8:54 AM",
Matthew Crawford,The satisfactions of manifesting oneself concretely in the world through manual competence have been known to make a man quiet and easy,https://www.amazon.com/Shop-Class-Soulcraft-Inquiry-Value/dp/0143117467,"Craft, Happiness, Productivity",⭐️⭐️⭐️⭐️,,https://www.newyorker.com/culture/office-space/lessons-from-the-deep-history-of-work,"November 12, 2022",,"November 13, 2022 6:44 AM",
Third Zen Patriarch,The Great Way is easy. For one with no preferences.,,"Enlightenment, Happiness",⭐️⭐️⭐️⭐️,,https://www.slideshare.net/drrickhanson/equanimity,"November 1, 2022",,"November 1, 2022 9:45 AM",
Henry David Thoreau,I make myself rich by making my wants few.,,"Happiness, Wealth",⭐️⭐️⭐️⭐️,,,,,"November 1, 2022 9:43 AM",
The Buddha,There are those that do not realise we all must die. But those who do realise this settle their quarrels.,,Enlightenment,⭐️⭐️⭐️⭐️,,https://www.slideshare.net/drrickhanson/equanimity,"November 1, 2022",,"November 1, 2022 9:42 AM",
https://www.goodreads.com/author/quotes/656983.J_R_R_Tolkien,"There, peeping among the cloud-wrack above a dark tor high up in the mountains, Sam saw a white star twinkle for a while. The beauty of it smote his heart, as he looked up out of the forsaken land, and hope returned to him. For like a shaft, clear and cold, the thought pierced him that in the end the Shadow was only a small and passing thing: there was light and high beauty for ever beyond its reach.",https://www.goodreads.com/work/quotes/2964424,"Adversity, Beauty",⭐️⭐️⭐️⭐️,,,"November 1, 2022",,"November 1, 2022 9:38 AM",
John Maynard Keynes,"When the facts change, I change my mind, sir. What do you do? ",,Ignorance,⭐️⭐️⭐️⭐️,,https://www.slideshare.net/drrickhanson/equanimity,"November 1, 2022",,"November 1, 2022 9:27 AM",
The https://amzn.to/2Qb6lfm,"With equanimity, you can deal with situations with calm and reason while keeping your inner happiness.",,"Buddhism, Equanimity",⭐️⭐️⭐️⭐️,,https://www.nerdycreator.com/blog/how-to-develop-equanimity/,"November 1, 2022",,"November 1, 2022 9:18 AM",
https://www.goodreads.com/author/show/4029970.Eric_Jorgenson,"When today is complete in and of itself, you are retired.",The Almanack of Naval Ravikant: A Guide to Wealth and Happiness,Finance,⭐️⭐️⭐️⭐️,,https://www.youtube.com/watch?v=ZaCNnliEW9A,"October 2, 2022",,"October 2, 2022 7:53 AM",
https://www.goodreads.com/author/show/4029970.Eric_Jorgenson,Retirement is when you stop sacrificing today for an imaginary tomorrow.,The Almanack of Naval Ravikant: A Guide to Wealth and Happiness,Finance,⭐️⭐️⭐️⭐️,,https://www.youtube.com/watch?v=ZaCNnliEW9A,"October 2, 2022",,"October 2, 2022 7:50 AM",
Outkast,You can plan a pretty picnic but you can't predict the weather.,Outkast - Ms. Jackson,Planning,⭐️⭐️⭐️⭐️⭐️,,https://www.azlyrics.com/lyrics/outkast/msjackson.html,"September 20, 2022",,"September 20, 2022 6:20 AM",
Socrates,"There is only one good, knowledge, and one evil, ignorance.",via Philosophize This! ep 3.,,,,,"September 6, 2022",,"August 24, 2022 6:04 PM",
Socrates,"I am wiser than this man; it is likely that neither of us knows anything worthwhile, but he thinks he knows something when he does not, whereas when I do not know, neither do I think I know; so I am likely to be wiser than he to this small extent, that I do not think I know what I do not know.","Plato - Apology

via Philosophize This! ep. 3","Ignorance, Philosophy, Wisdom",⭐️⭐️⭐️⭐️⭐️,,,"August 24, 2022",,"August 24, 2022 5:56 PM",
Robert M. Pirsig,"The test of the machine is the satisfaction it gives you. There isn’t any other test. If the machine produces tranquillity it’s right. If it disturbs you, it’s wrong until either the machine or your mind is changed. ",Zen and the Art of Motorcycle Maintenance,"Happiness, Philosophy, Quality, Software Development",⭐️⭐️⭐️⭐️⭐️,,https://blog.devgenius.io/zen-and-the-art-of-software-development-115203cf3d32,"August 20, 2022",,"August 20, 2022 8:54 AM",
Ralph Waldo Emerson,There is no terror like being known.,,"Emotions, Friendship, Love, Psychology, Relationships",⭐️⭐️⭐️⭐️,,https://www.themarginalian.org/2019/06/05/ralph-waldo-emerson-margaret-fuller-letters-figuring/,"July 15, 2022",,"July 15, 2022 6:14 AM",
Katori Hall,I know that every human being holds in them an immense amount of power and an immense amount of vulnerability.,,"Power, Writing",⭐️⭐️⭐️⭐️,,https://www.nytimes.com/2022/06/03/arts/television/p-valley-katori-hall.html,"June 5, 2022",,"June 5, 2022 6:23 AM",
Nietsche,"What does not kill him makes him stronger. Instinctively, he collects from everything he sees, hears, lives through, his sum: he is a principle of selection, he discards much. He is always in his own company, whether he associates with books, human beings, or landscapes: he honors by choosing, by admitting, by trusting.",,,,,https://arstechnica.com/staff/2022/05/just-say-no-to-content-nietzsches-surprising-information-diet/,"May 11, 2022",,"May 11, 2022 7:23 AM",
Philip Roth,"The danger with hatred is, once you start in on it, you get a hundred times more than you bargained for. Once you start, you can’t stop.",The Human Stain,Anger,⭐️⭐️⭐️⭐️,,https://www.nytimes.com/2022/03/26/world/europe/vladimir-putin-russia.html,"April 6, 2022",,"April 6, 2022 6:24 AM",
Cal Newport,"The key is recognizing that the urge to avoid hard things is human, and should be expected.",,"Grit, Productivity, Psychology",⭐️⭐️⭐️⭐️,,https://www.calnewport.com/blog/2022/02/25/brandon-sandersons-advice-for-doing-hard-things/,"February 26, 2022",,"February 26, 2022 3:53 PM",
Molly Young,"Stoicism is many things — it was devised and refined over centuries — but the basic principles can be summed up quickly. Excellence of character, or virtue, is the only true good, and we should spend our lives pursuing it",,"Stoicism, Virtue",⭐️⭐️⭐️,,https://www.nytimes.com/2021/12/28/books/stoicism-books.html,"December 29, 2021",,"December 29, 2021 3:06 PM",
Alan Lightman,"In the cremation, her water evaporated. Her carbon and nitrogen combined with oxygen to make gaseous carbon dioxide and nitrogen dioxide, which floated skyward and mingled with the air. Most of her calcium and phosphorous baked into a reddish brown residue and scattered in soil and in wind. Released from their temporary confinement, her atoms slowly spread out and diffused through the atmosphere. In sixty days’ time, they could be found in every handful of air on the planet. In one hundred days, some of her atoms, the vaporous water, had condensed into liquid and returned to the surface as rain, to be drunk and ingested by animals and plants. Some of her atoms were absorbed by light-utilizing organisms and transformed into tissues and tubules and leaves. Some were breathed in by oxygen creatures, incorporated into organs and bone.",Mr g: A Novel About the Creation,"Death, Physics",⭐️⭐️⭐️,,https://www.themarginalian.org/2022/01/10/alan-lightman-death/,"January 12, 2022",,"January 13, 2022 7:35 AM",
Seneca,Disaster is virtue’s opportunity.,,"Philosophy, Problem, Stoicism, Virtue",⭐️⭐️⭐️⭐️,,https://www.nytimes.com/2021/12/28/books/stoicism-books.html,"December 29, 2021",,"December 29, 2021 2:54 PM",
Studs Terkel,"Working for daily meaning as well as daily bread, for recognition as well as cash, for astonishment rather than torpor; in short, for a sort of life rather than a Monday through Friday sort of dying.",Working: People Talk About What They Do All Day and How They Feel About What They Do,"Happiness, Inspirational, Productivity, Purpose",⭐️⭐️⭐️⭐️,,https://www.nytimes.com/2021/10/13/books/review-whore-of-new-york-liara-roux.html,"October 20, 2021",,"May 23, 2020 10:06 AM",
Plato,"I am wiser than this man; for neither of us really knows anything fine and good, but this man thinks he knows something when he does not, whereas I, as I do not know anything, do not think I do either.",Apology,"Enlightenment, Ignorance, Wisdom",⭐️⭐️⭐️⭐️⭐️,,,,,"August 29, 2021 8:15 AM",
Austin Kleon,"In their book, Significant Objects, Joshua Glenn and Rob Walker recount an experiment in which they set out to test this hypothesis: “Stories are such a powerful driver of emotional value that their effect on any given object’s subjective value can actually be measured objectively.” First, they went out to thrift stores, flea markets, and yard sales and bought a bunch of “insignificant” objects for an average of $1.25 an object. Then, they hired a bunch of writers, both famous and not-so-famous, to invent a story “that attributed significance” to each object. Finally, they listed each object on eBay, using the invented stories as the object’s description, and whatever they had originally paid for the object as the auction’s starting price. By the end of the experiment, they had sold $128.74 worth of trinkets for $3,612.51.",Show Your Work,"Experiment, Marketing, Self Control, Success, Writing",⭐️⭐️⭐️⭐️,,,,,"May 23, 2020 10:48 AM",
Austin Kleon,"Comedian Steve Martin famously dodges these questions with the advice, “Be so good they can’t ignore you.” If you just focus on getting really good, Martin says, people will come to you. I happen to agree: You don’t really find an audience for your work; they find you. But it’s not enough to be good. In order to be found, you have to be findable.",Show Your Work,"Marketing, Success",⭐️⭐️⭐️,,,,,"May 23, 2020 10:32 AM",
David Foster Wallace,"The point of the fish story is merely that the most obvious, important realities are often the ones that are hardest to see and talk about.",,"Enlightenment, Mindfulness, Truth",⭐️⭐️⭐️⭐️,,https://markmanson.net/this-is-water,,,"May 23, 2020 10:05 AM",
Alan Kay,"If you look at software today, through the lens of the history of engineering, it’s certainly engineering of a sort—but it’s the kind of engineering that people without the concept of the arch did. Most software today is very much like an Egyptian pyramid with millions of bricks piled on top of each other, with no structural integrity, but just done by brute force and thousands of slaves.","Programming Languages
Vol. 2, No. 9 - Dec/Jan 2004-2005",Software Development,⭐️⭐️⭐️⭐️,,https://www.doc.ic.ac.uk/~susan/475/AlanKay.html,,,"May 21, 2020 6:40 AM",
Taiichi Ohno,Stop trying to borrow wisdom and think for yourself. Face your difficulties and think and think and think and solve your problems yourself. Suffering and difficulties provide opportunities to become better. Success is never giving up.,,"Agile, Failure, Success",,,https://medium.com/the-ready/how-to-build-your-own-spotify-model-dce98025d32f,,,"May 14, 2020 6:26 AM",
Herman Hesse,"[T]hat not only East and West, not only Europe and Asia are unities, but that there is a unity and an association over and beyond that – humanity.",,Better World,,,https://tricycle.org/magazine/siddhartha/,,,"April 10, 2020 5:15 PM",
Albert Camus,"In the depths of winter, I finally learned that within me there lay an invincible summer.",Lyrical and Critical Essays,"Beautiful Words, Happiness, Inspirational, Self Control, Summer, Winter",,,,,,"March 15, 2020 4:50 PM",1234
Anne Lamott,"If you give freely, there will always be more. … It is one of the greatest feelings known to humans, the feeling of being the host, of hosting people, of being the person to whom they come for food and drink and company. This is what the writer has to offer.",Bird by Bird,"Happiness, Virtue, Writing",,,http://www.brainpickings.org/index.php/2013/11/22/bird-by-bird-anne-lamott,,,"March 23, 2020 8:13 AM",
Dani Shapiro,"It is in the thousands of days of trying, failing, sitting, thinking, resisting, dreaming, raveling, unraveling that we are at our most engaged, alert, and alive.",,"Creativity, Favorites, Productivity, Success",,,http://www.brainpickings.org/index.php/2013/10/21/still-writing-dani-shapiro/,,,"March 23, 2020 8:08 AM",
Debbie Millman,Expect anything worthwhile to take a long time.,,"Favorites, Productivity, Success",,,http://www.brainpickings.org/index.php/2013/10/23/7-lessons-from-7-years/,,,"March 23, 2020 8:06 AM",
Terry Teachout,"The Blues ain’t nothin’ but a cold grey day, / And all night long it stays that way.",Duke,Blues,,,,,,"March 15, 2020 4:50 PM",1235
Michel Houellebecq,"One might not see the subtleties, whereas all is subtlety. But if one takes pains to study the book attentively, to penetrate the innermost secrets of the art, one will find embellishments of such intricacy, such delicacy and density, such a wealth of knots and interlacing links in such fresh and lustrous hues, that one will unequivocally pronounce it the work not of man but of angels.",The Elementary Particles,"Beautiful Words, Writing",,,,,,"March 15, 2020 4:50 PM",1236
Richard L. Sanders,"The less time you know you have, the richer the experience of living becomes. And your whole perspective changes. All of the little, petty things fall away and you realize how truly wonderful it is to be alive, even if just for a moment. The way I see it—life is all the more beautiful knowing that it can't last forever, accepting that all of us eventually pass away. If I had all the time in the universe, I couldn't truly appreciate it. But knowing that my clock is ticking and that every new day brings one fewer sunrise for me to gaze upon, that makes every sight more colorful, every smell sweeter, and every song lovelier. I want to make the most of every moment. Then, when the end finally does come, I will be ready for it.”

",The Phoenix Rising,"Beautiful Words, Death, Immortality, Philosophy",,,,,,"March 15, 2020 4:50 PM",1237
Unknown,"A psychologist walked around a room while teaching stress management to an audience.
As she raised a glass of water, everyone expected they'd be asked the ""half empty or half full"" question. Instead, with a smile on her face, she inquired: ""How heavy is this glass of water?""Answers called out ranged from 8 oz. to 20 oz.
She replied, ""The absolute weight doesn't matter. It depends on how long I hold it. If I hold it for a minute, it's not a problem. If I hold it for an hour, I'll have an ache in my arm. If I hold it for a day, my arm will feel numb and paralyzed. In each case, the weight of the glass doesn't change, but the longer I hold it, the heavier it becomes.""
She continued, ""The stresses and worries in life are like that glass of water. Think about them for a while and nothing happens. Think about them a bit longer and they begin to hurt.And if you think about them all day long, you will feel paralyzed – incapable of doing anything.""Remember to put the glass down:)
",,"Psychology, Stress",,,,,,"March 15, 2020 4:50 PM",1238
,"“Do you want to know how I pass my time? — I rise at eight — thereabouts — & go to my barn — say good-morning to the horse, & give him his breakfast. (It goes to my heart to give him a cold one, but it can’t be helped) Then, pay a visit to my cow — cut up a pumpkin or two for her, & stand by to see her eat it — for its a pleasant sight to see a cow move her jaws — she does it so mildly & with such a sanctity.”",,Beautiful Words,,,http://www.brainpickings.org/index.php/2014/01/30/herman-melville-daily-routine/,,,"March 15, 2020 4:50 PM",1239
Margret Atwood,"Zeb wondered which of the three pills to slip into the drink – the white, the red or the black. But why be so stingy? He admonished himself Why not all.",MadAddam,"Funny, Good Writing",,,,,,"March 15, 2020 4:50 PM",1240
,"Father and son: each was locked in a deep, dark embrace with his secrets.",19Q4,,,,,,,"March 15, 2020 4:50 PM",1241
David Norris,"I can go through this door alone. You’ll never see me or the people chasing us again, or you can come with me, and I don’t know what’s on the other side, but you’d be next to me and that’s all I’ve wanted since the minute I met you.",The Adjustment Bureau,Romatic,,,,,,"March 15, 2020 4:50 PM",1242
Robb,"Is it the nature of the world that all things seek a rhythm, and in that rhythm a sort of peace? Certainly it has always seemed so to me. All events, no matter how earthshaking or bizarre, are diluted within moments of their occurrence by the continuance of the necessary routines of day-to-day living.",Assassin's Apprentice,"Beautiful Words, Enlightenment, Habits, Happiness, Psychology",,,,,,"March 15, 2020 4:50 PM",1243
Robb,Lost to me were the rhythms of lives that had intertwined with mine.,Assassin's Quest,Loss,,,,,,"March 15, 2020 4:50 PM",1244
Dan Simmons,"To see and feel one's beloved naked for the first time is one of life's pure, irreducible epiphanies. If there is a true religion in the universe, it must include that truth of contact or be forever hollow. To make love to the one true person who deserves that love is one of the few absolute rewards of being a human being, balancing all the pain, loss, awkwardness, loneliness, idiocy, compromise, and clumsiness that go with the human condition. To make love to the right person makes up for a lot of mistakes.",Rise of Endymion,"Love, Romatic",,,,,,"March 15, 2020 4:50 PM",1245
Haruki Murakami,"In this world, there are things you can only do alone, and things you can only do with somebody else.",After Dark,"Friendship, Romatic",,,,,,"March 15, 2020 4:50 PM",1246
"Hermann Hesse ","I don't know if I can love at all. I can desire and I can search for myself in other people, to listen for the echo, to demand a mirror, and all this can look like love.","Klingsor's Last Summer ","Empathy, Love, Psychology",,,,,,"March 15, 2020 4:50 PM",1247
Eric Clapton,"Oh I lost my courage
till I found you
You got what it takes baby
To pull me through
Help the poor
Oh baby won't you help poor me",,"Love, Romatic",,,,,,"March 15, 2020 4:50 PM",1248
,"As God’s chosen people, holy and dearly loved, clothe
yourselves with compassion, kindness, humility,
gentleness and patience. Bear with each other and
forgive whatever grievances you may have against one
another. Forgive as the Lord forgave you. And over all
these virtues put on love, which binds them all together in perfect unity.",,"Forgiveness, Love",,--Col. 3:12-14 Bible,,,,"March 15, 2020 4:50 PM",1249
,"We hold these truths to be self-evident, that all men are created equal, that they are endowed by their Creator with certain unalienable Rights, that among these are Life, Liberty and the pursuit of Happiness.",United States Declaration of Independence,"Enlightenment, Happiness",,,,,,"March 15, 2020 4:50 PM",1250
Kirsten Green,"“Now that people are bombarded with information, we are in a golden age where brands matter,” Ms. Green said. “I want to be part of this new era.”",,"Business, Marketing",,,https://www.nytimes.com/2017/03/26/technology/top-tier-venture-capitalists-investors.html?_r=0,,,"March 15, 2020 4:50 PM",1251
French proverb,You can’t make the omelette without breaking the egg.,,"Business, Innovation",,,,,,"March 15, 2020 4:50 PM",1252
Maori proverb,"Aim for the highest cloud so that if you miss it, you will hit a lofty mountain.",,"Business, Innovation, Risk",,,,,,"March 15, 2020 4:50 PM",1253
Eskimo proverb,"If you are going to walk on thin ice, you might as well dance.",,"Business, Innovation, Risk",,,,,,"March 15, 2020 4:50 PM",1254
,"In America, we say that the squeaky wheel gets the grease.",,"Culture, Success",,,http://www.nytimes.com/2014/12/04/opinion/why-are-some-cultures-more-individualistic-than-others.html?partner=rss&emc=rss,,,"March 15, 2020 4:50 PM",1255
"Golis et al ","In 1962, Thomas S. Kuhn’s The Structure of Scientific Revolutions was published. This book effectively demolished the commonly held view of science being an objective progression towards the truth. Instead, Kuhn established a different philosophy. He said each science had several theories that were widely accepted by nearly all the scientists involved. They conducted continuous experiments ‘confirming’ these generally held theories. This type of work he called ‘normal’ science. Gradually more and more experiments would generate complications to the theory that would destroy a theory’s initial simple elegance. Then an individual would inevitably put forward a radical new theory, which would explain all the earlier idiosyncrasies but would meet violent opposition from the established scientific community. Kuhn called this the paradigm shift. Afterwards, when the new paradigm had been accepted, the scientists rewrote the history of science to reinforce the idea of steady progression.",Enterprise and Venture Capital,"Business, Research Methodology, Science, Scientific Method",,,,,,"March 15, 2020 4:50 PM",1256
Michelangelo,"The greater danger for most of us is not that our aim is too high and we miss it, but that it is too low and we reach it.",,"Business, Innovation, Risk",,,,,,"March 15, 2020 4:50 PM",1257
"Alceus, 600 BC","Not houses finely roofed, nor the stones of walls well built, nor canals, nor dockyards make the city, but men able to use their opportunity.",,"Business, Innovation",,,,,,"March 15, 2020 4:50 PM",1258
Finch,[D]on’t introduce initiatives because they seem a good idea on their own: always pursue initiatives because they are part of a bigger plan and promote achievement of the business goals.,How To Write a Business Plan,"Business, Business Strategy, Project Management",,,,,,"March 15, 2020 4:50 PM",1259
Finch,"Never state a weakness and then omit to say what will be done about it, even if you have to say that the problem is relatively minor and there is nothing that can be done. Try not to state strengths without thinking about how to exploit them even more effectively.",How To Write a Business Plan,"Business, Business Strategy",,,,,,"March 15, 2020 4:50 PM",1260
Finch,"Think of a business plan as a route map of a journey. You are starting here and aiming to get to there. […] Using planning, like using a route map on a journey, is essential to finding your way. [However,] [t]here are three major differences between the journey of a business plan and a normal physical journey:
1. Markets, competitors, technology, customers, government regulations, etc may change frequently and radically, although most ordinary journeys are over pretty static terrain. 
2. Whereas the road map you buy in a shop is fairly clear, the route map of this business plan journey may well be quite unclear in places: sadly you can’t see all the obstacles or enemies until you are right on top of them. 
3. Your destination may change between different versions of a business plan as conditions change and you re-evaluate your situation.
[…]
There are only two ways of dealing with these problems: continual research and maintaining flexibility.
",How To Write a Business Plan,"Business, Business Strategy",,,,,,"March 15, 2020 4:50 PM",1261
Finch,"When you put together the team to work on a strategy always make sure it includes people with current front-line experience of dealing with customers, suppliers and operations. It is too easy for these matters to be handled by finance people and divisional directors who, whatever their previous experience, are now removed and distanced from these details. Critical insights demand current experience of these details even if greater experience and authority is also required to know what has been tried before and what impediments there may be to suggestions.",How To Write a Business Plan,"Business, HR",,,,,,"March 15, 2020 4:50 PM",1262
Finch,Note also that just because something was tried before and did not work does not mean it may not work now.,How To Write a Business Plan,"Business, Innovation",,,,,,"March 15, 2020 4:50 PM",1263
Me,A strategy is only a strategy if it’s easy to disagree on it.,,"Business, Business Strategy",,,,,,"March 15, 2020 4:50 PM",1264
Duke Ellington,I ALWAYS CONSIDER my problems opportunities to do something.,,"Business, Business Strategy, Positive Thinking",,,,,,"March 15, 2020 4:50 PM",1265
Terry Teachout,"Ellington has never compromised with the public taste . . . He has played hot music, his own music, all the way along.",Duke,Success,,,,,,"March 15, 2020 4:50 PM",1266
Terry Teachout,"Like Armstrong, Ellington knew that he could not function at the top levels of the music business without a white manager. He also knew that what Mills did for him went beyond mere management. For one thing, Mills relieved him of the day-to-day responsibilities of a businessman, which he would always find tedious. In George Wein’s words, “Duke didn’t want to know, and didn’t want to be bothered. He really did not care about business. He was concerned about music, and the business would take care of itself.”",Duke,"Business, Success",,,,,,"March 15, 2020 4:50 PM",1267
Terry Teachout,"What Ellington sought and got from his “accumulation of personalities” was a loose, festive ensemble sound far removed from the clean precision of Benny Goodman’s band. He had no interest in the smoothly blended playing that leaders like Goodman, Jimmie Lunceford, and Artie Shaw demanded from their groups. He preferred to hire musicians with homemade techniques that were different to the point of apparent incompatibility, then juxtapose their idiosyncratic sounds as a pointillist painter might place dots of red and green side by side on his canvas, finding inspiration in their technical limitations (“With a musician who plays the full compass of his instrument as fast or as slow as possible, there seems, paradoxically, less opportunity to create”). [..] It is also why a keen-eared virtuoso like Jack Teagarden, the greatest jazz trombonist of his generation, found it impossible to enjoy the Ellington band. “I never did like anything Ellington ever did,” he said. “He never had a band all in tune, always had a bad tone quality and bad blend.” What Teagarden meant, whether he knew it or not, was that the band had an unconventional tone quality, one that had little in common with received ideas about how a big band ought to sound.",Duke,"Collaboration, Improvisation, Innovation",,,,,,"March 15, 2020 4:50 PM",1268
Terry Teachout,"“As long as something is unfinished,” he told Louis Armstrong, “there’s always that little feeling of insecurity. And a feeling of insecurity is absolutely necessary unless you’re so rich that it doesn’t matter.”",Duke,"Risk, Success",,,,,,"March 15, 2020 4:50 PM",1269
,"“It’s extremely dangerous at companies when you focus on the exception rather than the rule.” He pointed out that “for every Apple, there are a hundred companies that tried to do what Apple did and fell flat on their faces.”",,"Business, Business Strategy",,,http://www.nytimes.com/2014/12/21/magazine/what-happened-when-marissa-mayer-tried-to-be-steve-jobs.html?partner=rss&emc=rss,,,"March 15, 2020 4:50 PM",1270
Robert A. Caro,"He [Johnson] had to turn it around against the Establishment. The old establishment had more of the infrastructure in these [rural] counties than Johnson did. The sheriffs, the county judges, the tax assessors. But they [Johnson and the Brown Building group] turned it around between the two primaries. They were able to do it so fast because of money. You can create a new structure fast if you have unlimited money. And they did. They were spending money like mad. They were spending money like Texas had never seen. And they did it not only so big but so openly. Nothing had ever been seen in Texas on such a scale, and they were utterly brash. They spent a lot of money. And they were brash about how they spent it, and they were utterly ruthless. Brown & Root would do anything. They did it so big and so openly and so brash[ly] and so ruthlessly because they knew they didn’t have a chance by conventional political methods. Coke Stevenson had that race sewed up. And they did it because they knew they had more at stake.",The Years of Lyndon Johnson: Means of Ascent,"Corruption, Politics, Success",,,,,,"March 15, 2020 4:50 PM",1271
Robert A. Caro,"These speeches were written by Paul Bolton. Describing what he wrote, Bolton says: “Repeat the same thing over and over and over—jumping on Coke Stevenson’s having secret dealings with labor. You knew it was a damned lie [but] you just repeated it and repeated it and repeated it. Repetition—that was the thing.”",The Years of Lyndon Johnson: Means of Ascent,"Communication, Corruption, Marketing, Politics",,,,,,"March 15, 2020 4:50 PM",1272
Robert A. Caro,"But the main reason that Stevenson’s letter had little impact was that Stevenson had little money. Now that the Old Man had made his statement, Murphey and Boyett and his other aides wanted it reprinted and broadcast. But printings and broadcasts cost money. Lyndon Johnson, who had money, countered the letter with a barrage of broadcasts.",The Years of Lyndon Johnson: Means of Ascent,"Marketing, Politics",,,,,,"March 15, 2020 4:50 PM",1273
Robert A. Caro,"Lyndon Johnson’s college debating partner, Elmer Graham, could have warned Stevenson what would happen next. The strong point of Lyndon’s debating style, Graham says, was his devastating instinct for the jugular, his “knack of finding a weak point in the other team’s argument” and, once he had found it, making the most of it.",The Years of Lyndon Johnson: Means of Ascent,Rhetoric,,,,,,"March 15, 2020 4:50 PM",1274
Robert A. Caro,"This reaction, however, demonstrated only that in politics as in other fields, a revolutionary innovation may not be immediately recognized as the stroke of genius it is.",The Years of Lyndon Johnson: Means of Ascent,"Innovation, Politics",,,,,,"March 15, 2020 4:50 PM",1275
Robert A. Caro,"Politics was already changing, becoming more scientific, more technical, more media-oriented. Polling, for example, was growing more common. But no politician in Texas had ever used polls as Johnson wanted to use them. A statewide poll in the 1940s cost about $6,000, so politicians commissioned them sparingly, perhaps once a month, three or four during a campaign at most. Johnson wanted polling done not monthly but weekly, and each week he wanted nearly identical polls done not by one firm but two or three. “He wanted to be able to compare them on every point,” Ed Clark recalls. Johnson was talking not about three or four polls but thirty or forty. And as Johnson explained to his advisers what type of polls he wanted, the more perceptive of them realized that their Chief was talking about something new to politics: he wanted polls that revealed not only voter preferences, but the depth of those preferences, how the preferences were changing—and how they might be changed [..]",The Years of Lyndon Johnson: Means of Ascent,"Marketing, Politics",,,,,,"March 15, 2020 4:50 PM",1276
Robert A. Caro,"“He wanted people to kiss his ass. He didn’t want to have to kiss people’s asses. And selling [radio] time—you have to kiss people’s asses sometimes. In business you have to. He liked power, and so he was unhappy in business.”",The Years of Lyndon Johnson: Means of Ascent,,,,,,,"March 15, 2020 4:50 PM",1277
Thich Nhat Hanh,"A mantra is a kind of magic formula that, once uttered, can entirely change a situation. It can change us, and it can change others. But this magic formula must be spoken in concentration, with body and mind focused as one. What you say in this state of being becomes a mantra.
[...]
The most precious gift you can give to the one you love is your true presence. So the first mantra is very simple: “Dear one, I am here for you.”
[...]
The second mantra is, “Darling, I know you are there, and I am so happy.”
[...]
So what you can do — right away — is to manifest your true presence to your beloved and say the mantra with all your mindfulness: “Dear one, I know you are suffering. That is why I am here for you.”
[...]
Practice for yourself first, to bring about oneness of your body and mind before going to the other person to say the fourth mantra: “Dear one, I am suffering; please help.”",Fear: Essential Wisdom for Getting Through the Storm,"Buddhism, Enlightenment, Meditation, Practice, Self Improvement",⭐️⭐️⭐️⭐️,,https://www.brainpickings.org/2020/12/01/thich-nhat-hanh-fear-love/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+brainpickings%2Frss+%28Brain+Pickings%29,"January 1, 2021",,"January 1, 2021 12:08 PM",
Maya Angelo,"I’ve learned that people will forget what you said, people will forget what you did, but people will never forget how you made them feel.",,"Happiness, Leadership",⭐️⭐️⭐️⭐️⭐️,,https://www.linkedin.com/pulse/servant-leadership-what-how-interview-jennifer-briggs,,,"December 8, 2020 2:17 PM",
Robert A. Caro,"At staff meetings—held frequently during his stays in Austin—he would combine appeals to naked self-interest and to higher ideals, including the ideal he held highest of all: “loyalty.” [..] In public, he talked about “loyalty”; in private, he gave staff members his definition of that quality. “I want real loyalty,” he told one young staffer. “I want someone who will kiss my ass in Macy’s window, and say it smells like roses.”",The Years of Lyndon Johnson: Means of Ascent,"Leadership, Power",,,,,,"March 15, 2020 4:50 PM",1278
Robert A. Caro,"Now, however, Johnson was not Weedin’s candidate but Weedin’s employer—and a new element entered the relationship. Attempting to define it, Weedin says, “The minute he walked in, he’d take over the room.… He had a tremendously commanding presence, and as everyone says, the one-on-one things, he was fantastic.” He speaks of Johnson’s “domination.… He never let up on that at all. He was a completely overwhelming man in person.” And, he says, Johnson “intimidated” him: [..]No matter how admiring, respectful and intimidated Weedin was by Lyndon Johnson, he couldn’t be as admiring, respectful and intimidated as Johnson wanted him to be. Other employees of KTBC saw this. John Hicks recalls: “He wanted Harf to be a slave, and Harf just wasn’t like that. He was young and eager, but he had a kind of dignity about him. He just couldn’t be what Johnson wanted.”",The Years of Lyndon Johnson: Means of Ascent,,,,,,,"March 15, 2020 4:50 PM",1279
Robert A. Caro,"He promised Weedin an employment contract which would give him not only security but ten percent of the station’s profits, a promise which appealed to the young man since it would mean he was no longer merely a salaried employee. And Johnson promised Weedin something that meant even more to him than money: a title—general manager—and the authority that went with it; [..]And then, once the man had gone to work for Johnson, there came, in Austin as in Washington, the change. [..] The vision that had been given to Weedin of unlimited funds for equipment turned out to be an exaggeration; [..]Weedin realized that “the most important thing was to get the station out of the red—but quick.” To do so—to make the most of his “great opportunity”—he poured his talent and youthful energy into every phase of the station’s operations. [..]“This,” Weedin was to say, “was the toughest schedule I had ever had in my life.” But for a while, he says, “all of us had that wonderful feeling of accomplishment.… [..]Gradually, however, the “wonderful feeling” faded. For the vision of “unlimited funds” to improve KTBC was not the only promise that was not being honored. The promised written contract, with its ten percent of KTBC’s profits, did not materialize.",The Years of Lyndon Johnson: Means of Ascent,,,,,,,"March 15, 2020 4:50 PM",1280
